YEAR,DEPARTURES_PERFORMED,PAYLOAD(Pounds),PASSENGERS,FREIGHT(Pounds),MAIL(Pounds),DISTANCE(Miles),RAMP_TO_RAMP(Minutes),AIR_TIME(Minutes),TOTAL_DISTANCE(Miles),
1990,6232613,203651226736,448862173,4744074578,3200796071,113274385,653339861,535814798,3693540511,
1991,6090824,196630849409,434938070,4738827981,2984261808,111583783,634264174,522071075,3584318850,
1992,6266016,201244415780,454342117,4698758770,3397570073,113018586,651565667,535554649,3685605954,
1993,6394057,202610606435,464431683,4871253240,3608354261,113896605,672756083,554477111,3812895723,
1994,6679890,210363609386,505298026,5171891490,3761381159,116462656,701276673,578431610,3995930469,
1995,7176799,215288547163,519495497,4989474076,3821778213,115055814,742733595,614196316,4210392398,
1996,7322805,218303312651,548286560,5020900724,3888075988,121480806,773711918,639294472,4357584225,
1997,7262409,223243824749,564392387,5660926883,3995785099,123288390,788741206,653024548,4480350970,
1998,7255086,226368451366,575354592,5790542496,3555016511,124612341,801340660,660550514,4531198786,
1999,7607331,236307216806,597714868,6024708594,3299815332,130794462,857659878,702169726,4828342914,
2000,7949141,246500550649,623036133,6425403301,3342979011,141031513,983647562,748354503,5146362290,
2001,7784546,251232955657,580446827,10883346686,2524999437,158330357,906940335,742133873,5166649796,
2002,8496105,257594085234,571909540,16045110662,1698892874,173221859,938999152,772517842,5295276397,
2003,10254002,281502100455,604059353,27997808432,1696448496,203940924,1087471240,892905779,5992362781,
2004,10761030,291380005837,651178430,30053658257,1519209259,216993509,1171784288,954870081,6474008847,
2005,10822393,297286961625,676692299,29696349571,1293245450,213737609,1189691424,970719269,6594581834,
2006,10467997,287433191340,676812882,29697837364,1143566078,209822861,1167436609,952063706,6492261038,
2007,10582687,292743550742,698348181,29400627330,895940258,223516833,1194232045,967492602,6599907600,
2008,10061207,275580718289,669749629,26046056282,1081923228,214282037,1154029656,928646204,6297399093,
2009,9373568,258809254958,634897818,22831617543,937580139,198266572,1052796658,854679919,5798129249,
2010,9321243,259050841728,646481572,24561747613,905195708,208909455,1047308946,853652462,5859067540,
2011,9276767,260038354369,656320870,23962018799,915176622,212677987,1050115317,858970836,5894395243,
2012,9059512,252636844525,657645308,23498071960,899526700,216834187,1029769637,845383541,5843883089,
2013,8923900,252704680558,660057640,23573558369,906166279,220039284,1030748489,845776997,5851406811,
2014,8731218,256581198821,676358658,24066383578,948015406,231348564,1024576037,840429083,5832388720,
2015,8689086,266544363143,707749198,24621964272,1118476992,241148038,1041334165,852297284,5956519011,
2016,8829635,279618455277,730902303,25455595958,1032280317,256098406,1069743716,875346127,6151497682,
2017,8848791,292139857005,752582476,27042059347,1203413997,260359046,1092108568,890310300,6272912132,
2018,9096033,298056181534,787923485,28071447322,1190330614,273823070,1142166378,927922128,6547406723,
2019(Thru 10/19),7761709,255781630458,684617468,23375466569,973385621,235328902,977939413,793790761,5603223737,
