Year,Commuters(1000s),Daily_Vehicle-Miles of_Travel_on_Freeway(1000_Miles),Daily_Vehicle-Miles_of_Travel_on_Arterial_Streets(1000_Miles),Fuel_Consumption(1000_gallons)
1982,55349,618060,798275,821763
1983,56477,651865,821625,880699
1984,57557,689385,843565,946222
1985,59113,726066,872620,1014514
1986,60575,769170,902270,1077065
1987,62062,816340,921225,1147718
1988,63692,859520,955695,1224364
1989,65181,902271,979170,1296667
1990,66666,937600,1006700,1375743
1991,68924,961160,1033305,1464126
1992,70903,1000565,1069593,1552708
1993,72993,1039035,1104515,1651324
1994,75124,1075665,1141895,1760533
1995,77372,1114585,1175950,1870746
1996,79823,1150380,1207500,1984854
1997,82246,1183160,1236925,2099316
1998,84857,1222428,1260135,2213303
1999,87330,1259935,1292795,2335906
2000,90141,1295215,1322170,2456775
2001,92980,1333200,1352410,2579545
2002,95833,1371715,1387085,2703138
2003,98415,1419170,1420910,2817187
2004,100259,1462425,1456125,2931049
2005,101913,1487340,1481125,3025004
2006,103538,1505695,1499045,3107563
2007,105121,1518870,1504725,3159913
2008,106336,1490575,1484245,3159425
2009,107760,1505252,1485012,3059491
2010,109223,1530443,1489922,3119256
2011,110138,1554213,1503485,3180501
2012,110272,1500870,1478555,3249219
2013,110472,1521521,1487185,3303567
2014,110329,1558649,1502737,3213282
2015,110864,1617353,1518349,3250218
2016,111658,1667998,1549206,3286896
2017,114880,2125172,2186049,3340884
